Name;Type1;Type2;Attack;Defense;Sp. Attack;Sp. Defense
Bulbasaur;Grass;Poison;49;49;65;65
Ivysaur;Grass;Poison;62;63;80;80
Venusaur;Grass;Poison;82;83;100;100
Charmander;Fire;None;52;43;60;50
Charmeleon;Fire;None;64;58;80;65
Charizard;Fire;Flying;84;78;109;85
Squirtle;Water;None;48;65;50;64
Wartortle;Water;None;63;80;65;80
Blastoise;Water;None;83;100;85;105
Caterpie;Bug;None;30;35;20;20
Metapod;Bug;None;20;55;25;25
Butterfree;Bug;Flying;45;50;90;80
Weedle;Bug;Poison;35;30;20;20
Kakuna;Bug;Poison;25;50;25;25
Beedrill;Bug;Poison;90;40;45;80
Pidgey;Normal;Flying;45;40;35;35
Pidgeotto;Normal;Flying;60;55;50;50
Pidgeot;Normal;Flying;80;75;70;70
Rattata;Normal;None;56;35;25;35
Raticate;Normal;None;81;60;50;70
Spearow;Normal;Flying;60;30;31;31
Fearow;Normal;Flying;90;65;61;61
Ekans;Poison;None;60;44;40;54
Arbok;Poison;None;85;69;65;79
Pikachu;Electric;None;55;40;50;50
Sandshrew;Ground;None;75;85;20;30
Sandslash;Ground;None;100;110;45;55
Nidoranâ™€;Poison;None;47;52;40;40
Nidorina;Poison;None;62;67;55;55
Nidoqueen;Poison;Ground;92;87;75;85
Nidoranâ™‚;Poison;None;57;40;40;40
Nidorino;Poison;None;72;57;55;55
Nidoking;Poison;Ground;102;77;85;75
Clefairy;Fairy;None;45;48;60;65
Clefable;Fairy;None;70;73;95;90
Vulpix;Fire;None;41;40;50;65
Ninetales;Fire;None;76;75;81;100
Jigglypuff;Normal;Fairy;45;20;45;25
Wigglytuff;Normal;Fairy;70;45;85;50
Zubat;Poison;Flying;45;35;30;40
Golbat;Poison;Flying;80;70;65;75
Oddish;Grass;Poison;50;55;75;65
Gloom;Grass;Poison;65;70;85;75
Vileplume;Grass;Poison;80;85;110;90
Paras;Bug;Grass;70;55;45;55
Parasect;Bug;Grass;95;80;60;80
Venonat;Bug;Poison;55;50;40;55
Venomoth;Bug;Poison;65;60;90;75
